state_name,state_abb,AverageTemperature_F
Alabama,AL,64.12090909090941
Arizona,AZ,61.10814545454554
Arkansas,AR,61.567572727272484
California,CA,59.00017954545453
Colorado,CO,46.02207727272723
Connecticut,CT,50.323285714285724
Delaware,DE,55.262353571428584
Florida,FL,71.99478636363597
Idaho,ID,43.20190227272733
Illinois,IL,53.315334090909076
Indiana,IN,53.294568181818164
Iowa,IA,49.49363636363639
Kansas,KS,55.60091136363637
Kentucky,KY,56.86264090909091
Louisiana,LA,67.69859545454561
Maine,ME,42.217902272727265
Maryland,MD,55.627825
Massachusetts,MA,47.957062500000006
Michigan,MI,45.89875000000006
Minnesota,MN,42.360454545454424
Mississippi,MS,65.00651136363653
Missouri,MO,55.8691136363638
Montana,MT,42.85580454545454
Nebraska,NE,50.045074999999954
Nevada,NV,50.9829772727273
New Hampshire,NH,44.478961363636365
New Jersey,NJ,53.15549772727277
New Mexico,NM,54.79729772727271
New York,NY,47.14373636363634
North Carolina,NC,60.07738181818193
North Dakota,ND,41.66031818181821
Ohio,OH,52.31404318181817
Oklahoma,OK,61.0723249999998
Oregon,OR,47.98837500000006
Pennsylvania,PA,50.338309090909085
Rhode Island,RI,50.92730555555556
South Carolina,SC,64.00631818181823
South Dakota,SD,46.4516409090909
Tennessee,TN,58.782681818181686
Texas,TX,66.03858409090937
Utah,UT,48.65316136363637
Vermont,VT,44.118546666666674
Virginia,VA,56.64358636363631
Washington,WA,47.221054545454486
West Virginia,WV,53.33534090909082
Wisconsin,WI,44.85226590909093
Wyoming,WY,42.718859090909056
